data_size,total_time,page_faults,cache_misses,llc_load_misses
16,0.062000,8472,834134,166084
32,0.057000,8484,836659,170967
64,0.072000,8479,832853,172047
128,0.115000,8515,839937,171825
256,0.289000,8617,842989,171187
512,1.105000,8999,857191,175869
1024,3.825000,10543,929061,185494
2048,14.403000,16695,1241247,222901
